"Part";"Value";"Device";"Package";"Description";"";
"C1";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C2";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C3";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C4";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C5";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C6";"1uF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C7";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C8";"47uF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C9";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C10";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C11";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"D1";"LSM115JE3";"LSM115JE3";"DO-214BA_-_DIOM4336X330N";"sub {";"";
"ICSP1";"ICSP-TAG-CONN";"ICSP-TAG-CONN";"TAG-CONN";"";"";
"J-FRONT-COM";"B4B-XH-A-REV2";"B4B-XH-A-REV2";"JST-XH-4";"";"";
"J-MAIN-COM";"B4B-XH-A-REV2";"B4B-XH-A-REV2";"JST-XH-4";"";"";
"J-PWR";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J1";"2834082-1";"2834082-1";"2834082-1";"";"";
"MP1";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP2";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP3";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP4";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"P1";"10K";"3296W";"3296W";"";"";
"Q2";"IRF840-HSHS";"IRF840-HSHS";"TO-220-VERT-HS";"sub {";"";
"R1";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R2";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R3";"10";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R4";"1K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R5";"4.7k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R6";"4.7k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R7";"4.7K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R8";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R9";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"RESET";"TL3365";"TL3365";"TL3365";"";"";
"RS1";"14AFR010E";"14AFR010E";"RESAD2182W66L1845D630B";"High Power Shunt Resistor";"";
"U1";"ATMEGA-328PHS";"ATMEGA-328PHS";"QFP-32-HS_-_QFP80P900X900X120-33T500N";"Stand Alone - Arduino Nano";"";
"U2";"ZXGD3009E6NORM";"ZXGD3009E6NORM";"SOT-23-6PIN";"";"";
"U3";"INA181A-X";"INA181A-X";"SOT-23-6PIN";"Single Current Shunt Amplifier";"";
"U4";"TLV7021-SOT23-5";"TLV7021-SOT23-5";"SOT23-5_-_SOT95P280X145-5N";"Low Power 5V Comparator";"";
"X1";"CSTCE16M0V53-R0SMD";"CSTCE16M0V53-R0SMD";"CSTCE16M0V53-R0";"SMD Resonator from the Arduino NANO";"";
