"Part";"Value";"Device";"Package";"Description";"";
"C1";"100uF";"C-POL_ECAP-10.5MM";"CAPAE1030X1050N";"Capacitor Polarised - Generic";"";
"C2";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C3";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C4";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C5";"4.7nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C6";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C7";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C8";"100uF";"C-POL_ECAP-8.5MM";"CAPAE830X1050N";"Capacitor Polarised - Generic";"";
"C9";"100nF";"C_CHIP-1206(3216-METRIC)";"CAPC3216X135";"Capacitor - Generic";"";
"C10";"10uF";"C-POL_TANTALUM-1206(3216-METRIC)";"CAPMP3216X180N";"Capacitor Polarised - Generic";"";
"C11";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C12";"0.1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C13";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C14";"4.7uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C15";"4.7uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C16";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C17";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C18";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C19";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C20";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C21";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C22";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C23";"47uF";"C-POL_TANTALUM-1206(3216-METRIC)";"CAPMP3216X180N";"Capacitor Polarised - Generic";"";
"C24";"22nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C26";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C27";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C28";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C29";"10uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C30";"47uF";"C-POL_TANTALUM-1206(3216-METRIC)";"CAPMP3216X180N";"Capacitor Polarised - Generic";"";
"C33";"1uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"D1";"SS34-CHAN";"SS34-CHAN";"M1-CHAN";"SMD Schottky";"";
"D2";"M1-CHAN";"M1-CHAN";"M1-CHAN";"SMD Rectifier";"";
"D3";"2PLCC-LED";"2PLCC-LED";"LEDC3528X190N";"SMD LED";"";
"D4";"2PLCC-LED";"2PLCC-LED";"LEDC3528X190N";"SMD LED";"";
"D5";"LTST-C171GKT";"LTST-C171GKT";"LED-0805-N-MARK_-_LEDC2012X80N";"sub {";"";
"ICSP-J";"PINHD-2X3";"PINHD-2X3";"2X03";"PIN HEADER";"";
"J1";"B4B-XH-A";"B4B-XH-A";"JST-XH-4";"";"";
"J2";"MOLEX-4";"MOLEX-4";"MOLEX-4";"";"";
"J3";"MOLEX-4";"MOLEX-4";"MOLEX-4";"";"";
"J4";"MOLEX-6MNT";"MOLEX-6MNT";"MOLEX-6-MNT";"";"";
"J5";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"JP1";"PINHD-1X6/90";"PINHD-1X6/90";"1X06/90";"PIN HEADER";"";
"L1";"SLF10145";"SLF10145";"SLF10145";"";"";
"MP1";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_HEX_FEMALE_500X1000_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP2";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_HEX_FEMALE_500X1000_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP3";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_HEX_FEMALE_500X1000_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP4";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_F/F_M2.5_10MM";"STANDOFF_HEX_FEMALE_500X1000_M2.5X0.45_MTGP755H270";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"P1";"3296W";"3296W";"3296W";"";"";
"Q1";"CSD19533KCS-HORZ";"CSD19533KCS-HORZ";"TO-220-HORZ";"N-Ch Power MOSFET";"";
"Q2";"2N2222TO92-3";"2N2222TO92-3";"TO92-3";"NPN Amp Trans";"";
"Q3";"SSM3K361R-LF";"SSM3K361R-LF";"SOT-23-F_-_SOTFL95P240X88-3N";"N-Ch Switching MOSFET";"";
"Q4";"SSM3K361R-LF";"SSM3K361R-LF";"SOT-23-F_-_SOTFL95P240X88-3N";"N-Ch Switching MOSFET";"";
"R1";"1.75K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R2";"7.5K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R3";"1.2K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R4";"2K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R5";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R6";"100m";"R-US_CHIP-2512(6332-METRIC)";"RESC6332X71";"Resistor Fixed - ANSI";"";
"R7";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R8";"1K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
