"Part";"Value";"Device";"Package";"Description";"";
"C1";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C2";"100nF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"C3";"4.7uF";"C_CHIP-1210(3225-METRIC)";"CAPC3225X135";"Capacitor - Generic";"";
"D1";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D2";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D3";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D4";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D5";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D6";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D7";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"D8";"S1M-CHAN";"S1M-CHAN";"S1M-CHAN";"SMD Rectifier";"";
"J-COMMS";"B4B-XH-A-REV2";"B4B-XH-A-REV2";"JST-XH-4";"";"";
"J-OUT-1";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-2";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-3";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-4";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-5";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-6";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-7";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-OUT-8";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"J-PWR";"B2B-XH-A-REV2";"B2B-XH-A-REV2";"JST-XH-2";"";"";
"MP1";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP2";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP3";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"MP4";"STANDOFF_F/F_M3_10MM";"STANDOFF_F/F_M3_10MM";"STANDOFF_HEX_FEMALE_550X1000_M3X0.5_MTGP850H320";"Female-Female Standoff/Spacer with Mounting pad and hole.";"";
"Q1";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q2";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q3";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q4";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q5";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q6";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q7";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"Q8";"SQ2310ES";"SQ2310ES";"SOT-23-3_-_SOT95P280X100-3N";"N-Ch MOSFET";"";
"R1";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R2";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R3";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R4";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R5";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R6";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R7";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R8";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R9";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R10";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R11";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R12";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R13";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R14";"10K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
